idNum,date,problem,citationIssued,personSearch,vehicleSearch
17-000651,2017-01-01T13:47:54Z,suspicious,NA,NA,NA
17-000668,2017-01-01T14:38:12Z,suspicious,NA,NO,NO
17-000713,2017-01-01T15:36:30Z,suspicious,NA,YES,NO
17-000715,2017-01-01T15:38:36Z,suspicious,NA,NO,NO
17-000744,2017-01-01T16:46:47Z,traffic,NA,NA,NA
17-000761,2017-01-01T16:57:17Z,traffic,NA,NO,NO
17-000824,2017-01-01T17:53:52Z,suspicious,NA,NA,NA
17-000828,2017-01-01T17:57:04Z,traffic,NA,NO,NO
17-000837,2017-01-01T18:07:06Z,traffic,NA,NO,NO
17-000848,2017-01-01T18:27:18Z,suspicious,NA,NA,NA
17-000878,2017-01-01T18:52:36Z,traffic,NA,NO,NO
17-000880,2017-01-01T18:53:44Z,traffic,NA,NO,NO
17-000894,2017-01-01T19:04:14Z,suspicious,NA,YES,YES
17-000899,2017-01-01T19:07:14Z,traffic,NA,NO,NO
17-001010,2017-01-01T20:16:32Z,traffic,NA,NO,NO
17-001021,2017-01-01T20:29:19Z,traffic,NA,NA,NA
17-001061,2017-01-01T20:59:02Z,traffic,NA,NO,NO
17-001087,2017-01-01T21:27:17Z,traffic,NA,NO,NO
17-001099,2017-01-01T21:32:42Z,suspicious,NA,NO,NO
17-001165,2017-01-01T22:26:58Z,suspicious,NA,NO,NO
17-001189,2017-01-01T22:48:16Z,traffic,NA,NO,NO
17-001190,2017-01-01T22:48:32Z,suspicious,NA,NO,NO
17-001203,2017-01-01T22:59:11Z,traffic,NA,NA,NA
17-001206,2017-01-01T23:01:52Z,traffic,NA,NO,NO
17-001210,2017-01-01T23:06:49Z,suspicious,NA,NO,NO
17-001220,2017-01-01T23:11:39Z,suspicious,NA,YES,NO
17-001218,2017-01-01T23:12:07Z,suspicious,NA,NO,NO
17-001225,2017-01-01T23:14:50Z,suspicious,NA,NO,NO
17-001231,2017-01-01T23:19:41Z,suspicious,NA,NO,NO
17-001244,2017-01-01T23:39:57Z,suspicious,NA,NO,NO
17-001246,2017-01-01T23:42:53Z,suspicious,NA,NO,NO
17-001247,2017-01-01T23:43:07Z,traffic,NA,NO,NO
17-001248,2017-01-01T23:43:34Z,suspicious,NA,NO,NO
17-001249,2017-01-01T23:44:46Z,traffic,NA,NO,NO
17-001250,2017-01-01T23:45:03Z,suspicious,NA,YES,NO
17-001251,2017-01-01T23:45:15Z,traffic,NA,NA,NA
17-001259,2017-01-01T23:53:44Z,traffic,NA,YES,YES
17-001264,2017-01-01T23:57:43Z,suspicious,NA,NO,NO
17-001269,2017-01-02T00:03:27Z,suspicious,NA,NO,NO
17-001289,2017-01-02T00:15:37Z,suspicious,NA,NA,NA
17-001314,2017-01-02T00:32:10Z,suspicious,NA,NO,NO
17-001324,2017-01-02T00:43:48Z,traffic,NA,NO,NO
17-001327,2017-01-02T00:54:30Z,traffic,NA,NA,NA
17-001340,2017-01-02T01:11:27Z,suspicious,NA,NA,NA
17-001360,2017-01-02T01:39:43Z,suspicious,NA,NO,NO
17-001361,2017-01-02T01:43:49Z,traffic,NA,NO,NO
17-001375,2017-01-02T02:05:46Z,suspicious,NA,NO,NO
17-001376,2017-01-02T02:07:06Z,traffic,NA,NO,NO
17-001395,2017-01-02T02:36:58Z,suspicious,NA,NO,NO
17-001408,2017-01-02T03:00:01Z,traffic,NA,NO,NO
17-001415,2017-01-02T03:17:26Z,traffic,NA,NO,NO
17-001417,2017-01-02T03:22:20Z,suspicious,NA,NO,NO
17-001424,2017-01-02T03:31:34Z,traffic,NA,NO,NO
17-001429,2017-01-02T03:38:22Z,suspicious,NA,NO,NO
17-001433,2017-01-02T03:50:30Z,traffic,NA,YES,YES
17-001454,2017-01-02T05:43:15Z,suspicious,NA,NA,NA
17-001457,2017-01-02T05:59:24Z,suspicious,NA,NA,NA
17-001472,2017-01-02T07:21:55Z,traffic,NA,NO,NO
17-001475,2017-01-02T07:35:34Z,traffic,NA,NO,NO
17-001491,2017-01-02T08:21:53Z,traffic,NA,NO,NO
17-001545,2017-01-02T10:18:02Z,traffic,NA,YES,YES
17-001551,2017-01-02T10:28:03Z,suspicious,NA,NO,NO
17-001553,2017-01-02T10:35:29Z,traffic,NA,NO,NO
17-001558,2017-01-02T10:40:48Z,suspicious,NA,NO,NO
17-001562,2017-01-02T10:50:27Z,suspicious,NA,NO,NO
17-001591,2017-01-02T11:20:19Z,suspicious,NA,NO,NO
17-001598,2017-01-02T11:27:13Z,suspicious,NA,NO,NO
17-001601,2017-01-02T11:28:17Z,traffic,NA,NO,NO
17-001619,2017-01-02T11:58:41Z,suspicious,NA,NO,NO
17-001629,2017-01-02T12:12:50Z,traffic,NA,NO,NO
17-001630,2017-01-02T12:20:52Z,suspicious,NA,NA,NA
17-001631,2017-01-02T12:22:06Z,suspicious,NA,NO,NO
17-001638,2017-01-02T12:27:03Z,traffic,NA,NO,NO
17-001643,2017-01-02T12:31:33Z,traffic,NA,YES,NO
17-001651,2017-01-02T12:43:16Z,suspicious,NA,NO,NO
17-001659,2017-01-02T12:51:33Z,traffic,NA,NO,NO
17-001689,2017-01-02T13:36:36Z,suspicious,NA,NO,NO
17-001696,2017-01-02T13:53:16Z,suspicious,NA,NO,NO
17-001704,2017-01-02T14:03:05Z,traffic,NA,NO,NO
17-001717,2017-01-02T14:19:54Z,suspicious,NA,NO,NO
17-001720,2017-01-02T14:25:13Z,suspicious,NA,NO,NO
17-001721,2017-01-02T14:25:33Z,suspicious,NA,NO,NO
17-001759,2017-01-02T15:20:38Z,suspicious,NA,NO,NO
17-001770,2017-01-02T15:29:25Z,suspicious,NA,NO,NO
17-001771,2017-01-02T15:31:32Z,suspicious,NA,NO,NO
17-001782,2017-01-02T15:41:07Z,suspicious,NA,NO,NO
17-001784,2017-01-02T15:43:50Z,suspicious,NA,YES,NO
17-001792,2017-01-02T15:56:31Z,suspicious,NA,NO,NO
17-001808,2017-01-02T16:15:28Z,suspicious,NA,NA,NA
17-001818,2017-01-02T16:33:01Z,suspicious,NA,YES,NO
17-001821,2017-01-02T16:41:52Z,traffic,NA,NO,NO
17-001852,2017-01-02T17:22:19Z,traffic,NA,NO,NO
17-001856,2017-01-02T17:28:13Z,suspicious,NA,NO,NO
17-001882,2017-01-02T17:50:28Z,suspicious,NA,NO,NO
17-001887,2017-01-02T17:54:08Z,traffic,NA,NO,NO
17-001903,2017-01-02T18:02:58Z,traffic,NA,NA,NA
17-001925,2017-01-02T18:29:27Z,traffic,NA,NA,NA
17-001931,2017-01-02T18:32:50Z,suspicious,NA,NO,NO
17-001967,2017-01-02T19:07:59Z,traffic,NA,NO,NO
17-001978,2017-01-02T19:18:55Z,suspicious,NA,YES,NO
17-001986,2017-01-02T19:23:21Z,suspicious,NA,NA,NA
17-002015,2017-01-02T19:39:32Z,suspicious,NA,YES,NO
17-002018,2017-01-02T19:41:24Z,traffic,NA,NO,NO
17-002061,2017-01-02T20:22:56Z,suspicious,NA,NO,NO
17-002113,2017-01-02T20:52:18Z,suspicious,NA,NO,NO
17-002129,2017-01-02T20:59:40Z,suspicious,NA,NO,NO
17-002139,2017-01-02T21:11:19Z,suspicious,NA,NA,NA
17-002174,2017-01-02T21:32:56Z,suspicious,NA,NO,NO
17-002176,2017-01-02T21:36:23Z,traffic,NA,NO,NO
17-002187,2017-01-02T21:44:20Z,suspicious,NA,NO,NO
17-002190,2017-01-02T21:46:12Z,suspicious,NA,NO,NO
17-002220,2017-01-02T22:11:55Z,traffic,NA,NO,NO
17-002259,2017-01-02T22:38:39Z,suspicious,NA,YES,NO
17-002281,2017-01-02T22:55:26Z,suspicious,NA,YES,NO
17-002293,2017-01-02T23:02:16Z,suspicious,NA,NO,NO
17-002296,2017-01-02T23:03:42Z,traffic,NA,NO,NO
17-002310,2017-01-02T23:11:31Z,traffic,NA,NO,NO
17-002312,2017-01-02T23:12:17Z,suspicious,NA,NO,NO
17-002315,2017-01-02T23:15:37Z,traffic,NA,NO,NO
17-002339,2017-01-02T23:38:47Z,traffic,NA,NO,NO
17-002340,2017-01-02T23:39:10Z,traffic,NA,NO,NO
17-002342,2017-01-02T23:39:30Z,traffic,NA,NO,NO
17-002362,2017-01-03T00:07:06Z,suspicious,NA,NO,NO
17-002386,2017-01-03T00:37:46Z,suspicious,NA,NO,NO
17-002396,2017-01-03T00:52:30Z,traffic,NA,NO,NO
17-002421,2017-01-03T01:29:56Z,traffic,NA,NO,NO
17-002424,2017-01-03T01:35:38Z,traffic,NA,NO,NO
17-002445,2017-01-03T02:20:07Z,traffic,NA,NO,NO
17-002453,2017-01-03T02:27:14Z,suspicious,NA,NO,NO
17-002466,2017-01-03T02:44:58Z,suspicious,NA,NA,NA
17-002495,2017-01-03T04:08:11Z,suspicious,NA,NA,NA
17-002519,2017-01-03T06:00:51Z,traffic,NA,NO,NO
17-002531,2017-01-03T07:07:36Z,suspicious,NA,NO,NO
17-002534,2017-01-03T07:13:11Z,traffic,NA,NO,NO
17-002537,2017-01-03T07:15:20Z,traffic,NA,NO,NO
17-002548,2017-01-03T07:36:18Z,traffic,NA,YES,NO
17-002570,2017-01-03T08:24:10Z,traffic,NA,NO,NO
17-002574,2017-01-03T08:39:07Z,traffic,NA,NO,NO
17-002589,2017-01-03T08:52:56Z,traffic,NA,NO,NO
17-002633,2017-01-03T09:50:03Z,suspicious,NA,NO,NO
17-002634,2017-01-03T09:56:36Z,suspicious,NA,NO,NO
17-002652,2017-01-03T10:07:12Z,suspicious,NA,NO,NO
17-002719,2017-01-03T11:19:17Z,traffic,NA,NA,NA
17-002726,2017-01-03T11:29:27Z,traffic,NA,YES,YES
17-002734,2017-01-03T11:37:13Z,traffic,NA,NO,NO
17-002750,2017-01-03T11:48:31Z,traffic,NA,YES,YES
17-002768,2017-01-03T12:07:10Z,traffic,NA,NO,NO
17-002779,2017-01-03T12:16:20Z,suspicious,NA,NO,NO
17-002787,2017-01-03T12:27:01Z,traffic,NA,NO,NO
17-002791,2017-01-03T12:29:44Z,suspicious,NA,NO,NO
17-002794,2017-01-03T12:33:54Z,suspicious,NA,NO,NO
17-002798,2017-01-03T12:37:26Z,suspicious,NA,NO,NO
17-002801,2017-01-03T12:43:28Z,traffic,NA,NO,NO
17-002815,2017-01-03T12:55:39Z,suspicious,NA,NO,NO
17-002836,2017-01-03T13:10:44Z,traffic,NA,NO,NO
17-002847,2017-01-03T13:25:53Z,traffic,NA,YES,YES
17-002852,2017-01-03T13:29:57Z,traffic,NA,NO,NO
17-002858,2017-01-03T13:33:55Z,suspicious,NA,NO,NO
17-002866,2017-01-03T13:39:28Z,traffic,NA,NO,NO
17-002867,2017-01-03T13:39:51Z,traffic,NA,NA,NA
17-002878,2017-01-03T13:49:13Z,traffic,NA,NO,NO
17-002885,2017-01-03T13:52:33Z,traffic,NA,NO,NO
17-002899,2017-01-03T14:07:45Z,suspicious,NA,NO,NO
17-002902,2017-01-03T14:14:07Z,suspicious,NA,NO,NO
17-002903,2017-01-03T14:14:47Z,traffic,NA,NO,NO
17-002917,2017-01-03T14:26:01Z,traffic,NA,NO,NO
17-002944,2017-01-03T14:48:17Z,traffic,NA,NA,NA
17-002958,2017-01-03T14:59:06Z,suspicious,NA,NO,NO
17-002980,2017-01-03T15:15:49Z,traffic,NA,NO,NO
17-002995,2017-01-03T15:25:12Z,traffic,NA,NA,NA
17-003023,2017-01-03T15:43:52Z,traffic,NA,NA,NA
17-003035,2017-01-03T15:51:26Z,suspicious,NA,NO,NO
17-003087,2017-01-03T16:57:59Z,traffic,NA,NO,YES
17-003091,2017-01-03T17:01:14Z,suspicious,NA,YES,NO
17-003093,2017-01-03T17:01:34Z,traffic,NA,YES,NO
17-003120,2017-01-03T17:18:49Z,traffic,NA,NO,NO
17-003145,2017-01-03T17:35:38Z,suspicious,NA,NO,NO
17-003171,2017-01-03T17:49:39Z,traffic,NA,NO,NO
17-003184,2017-01-03T17:56:26Z,suspicious,NA,YES,YES
17-003196,2017-01-03T18:02:02Z,suspicious,NA,NO,NO
17-003198,2017-01-03T18:03:33Z,suspicious,NA,NA,NA
17-003219,2017-01-03T18:23:14Z,suspicious,NA,NA,NA
17-003230,2017-01-03T18:29:18Z,suspicious,NA,NA,NA
17-003237,2017-01-03T18:33:57Z,traffic,NA,NO,NO
17-003263,2017-01-03T18:52:19Z,traffic,NA,YES,YES
17-003296,2017-01-03T19:24:16Z,suspicious,NA,YES,YES
17-003297,2017-01-03T19:25:12Z,traffic,NA,NO,NO
17-003311,2017-01-03T19:37:31Z,suspicious,NA,NO,NO
17-003315,2017-01-03T19:39:53Z,traffic,NA,NO,NO
17-003321,2017-01-03T19:46:09Z,suspicious,NA,NO,NO
17-003333,2017-01-03T20:04:33Z,traffic,NA,NO,NO
17-003334,2017-01-03T20:05:17Z,traffic,NA,NO,NO
17-003382,2017-01-03T20:50:25Z,traffic,NA,NO,NO
17-003409,2017-01-03T21:13:31Z,suspicious,NA,NO,NO
17-003442,2017-01-03T21:35:50Z,traffic,NA,NO,NO
17-003458,2017-01-03T21:47:26Z,suspicious,NA,NO,NO
17-003468,2017-01-03T21:55:26Z,traffic,NA,NO,NO
17-003481,2017-01-03T22:02:59Z,suspicious,NA,NA,NA
17-003488,2017-01-03T22:07:57Z,suspicious,NA,NO,NO
17-003500,2017-01-03T22:14:22Z,suspicious,NA,NO,NO
17-003528,2017-01-03T22:36:44Z,traffic,NA,NO,NO
17-003531,2017-01-03T22:38:46Z,suspicious,NA,NO,NO
17-003538,2017-01-03T22:41:34Z,traffic,NA,NO,NO
17-003542,2017-01-03T22:42:45Z,traffic,NA,YES,YES
17-003558,2017-01-03T23:00:00Z,suspicious,NA,NO,NO
17-003560,2017-01-03T23:01:56Z,suspicious,NA,NO,NO
17-003562,2017-01-03T23:06:04Z,suspicious,NA,NO,NO
17-003563,2017-01-03T23:06:12Z,suspicious,NA,NA,NA
17-003571,2017-01-03T23:15:01Z,traffic,NA,NO,NO
17-003577,2017-01-03T23:20:00Z,suspicious,NA,NA,NA
17-003583,2017-01-03T23:31:28Z,suspicious,NA,NA,NA
17-003592,2017-01-03T23:42:55Z,suspicious,NA,NO,NO
17-003593,2017-01-03T23:43:53Z,suspicious,NA,NO,NO
17-003601,2017-01-04T00:02:48Z,traffic,NA,NO,NO
17-003604,2017-01-04T00:04:37Z,suspicious,NA,NO,NO
17-003622,2017-01-04T00:45:35Z,suspicious,NA,NO,NO
17-003638,2017-01-04T01:15:10Z,traffic,NA,NO,NO
17-003652,2017-01-04T01:35:04Z,traffic,NA,NO,NO
17-003676,2017-01-04T02:07:21Z,traffic,NA,YES,YES
17-003678,2017-01-04T02:07:49Z,suspicious,NA,NO,NO
17-003710,2017-01-04T03:17:57Z,traffic,NA,YES,YES
17-003713,2017-01-04T03:29:15Z,traffic,NA,NO,NO
17-003727,2017-01-04T04:12:40Z,suspicious,NA,NO,NO
17-003740,2017-01-04T05:10:15Z,suspicious,NA,NO,NO
17-003760,2017-01-04T06:21:03Z,suspicious,NA,NO,NO
17-003768,2017-01-04T07:06:26Z,traffic,NA,NO,NO
17-003780,2017-01-04T07:26:03Z,traffic,NA,NO,NO
17-003790,2017-01-04T07:42:26Z,traffic,NA,NA,NA
17-003794,2017-01-04T07:51:34Z,traffic,NA,NO,NO
17-003801,2017-01-04T08:01:15Z,traffic,NA,NO,NO
17-003804,2017-01-04T08:04:46Z,suspicious,NA,NO,NO
17-003805,2017-01-04T08:05:48Z,suspicious,NA,NO,NO
17-003811,2017-01-04T08:10:55Z,traffic,NA,NO,NO
17-003813,2017-01-04T08:14:25Z,traffic,NA,NO,NO
17-003816,2017-01-04T08:17:38Z,suspicious,NA,NO,NO
17-003820,2017-01-04T08:24:57Z,suspicious,NA,NO,NO
17-003829,2017-01-04T08:36:09Z,suspicious,NA,NA,NA
17-003839,2017-01-04T08:41:48Z,suspicious,NA,NO,NO
17-003844,2017-01-04T08:51:04Z,suspicious,NA,NA,NA
17-003846,2017-01-04T08:54:15Z,suspicious,NA,NO,NO
17-003848,2017-01-04T09:01:16Z,suspicious,NA,NA,NA
17-003851,2017-01-04T09:06:24Z,traffic,NA,NA,NA
17-003865,2017-01-04T09:33:25Z,suspicious,NA,NO,NO
17-003870,2017-01-04T09:38:49Z,suspicious,NA,NO,NO
17-003878,2017-01-04T09:50:21Z,traffic,NA,NO,NO
17-003889,2017-01-04T10:06:36Z,suspicious,NA,NO,NO
17-003907,2017-01-04T10:34:32Z,suspicious,NA,NO,NO
17-003926,2017-01-04T11:03:52Z,traffic,NA,NO,NO
17-003928,2017-01-04T11:07:26Z,traffic,NA,NO,NO
17-003937,2017-01-04T11:12:57Z,traffic,NA,NO,NO
17-003948,2017-01-04T11:19:28Z,traffic,NA,NO,NO
17-003974,2017-01-04T11:54:51Z,traffic,NA,NO,NO
17-004005,2017-01-04T12:38:57Z,suspicious,NA,NO,NO
17-004024,2017-01-04T12:56:24Z,traffic,NA,NO,NO
17-004025,2017-01-04T12:57:16Z,suspicious,NA,NO,NO
17-004044,2017-01-04T13:14:25Z,suspicious,NA,NO,NO
17-004060,2017-01-04T13:30:39Z,suspicious,NA,NA,NA
17-004093,2017-01-04T14:07:01Z,traffic,NA,NO,NO
17-004102,2017-01-04T14:17:41Z,suspicious,NA,YES,NO
17-004105,2017-01-04T14:21:20Z,traffic,NA,NO,NO
17-004112,2017-01-04T14:28:28Z,traffic,NA,NO,NO
17-004130,2017-01-04T14:41:50Z,traffic,NA,NO,NO
17-004154,2017-01-04T14:59:41Z,traffic,NA,YES,YES
17-004164,2017-01-04T15:06:51Z,traffic,NA,NO,NO
17-004166,2017-01-04T15:10:23Z,suspicious,NA,NO,NO
17-004167,2017-01-04T15:11:18Z,suspicious,NA,NA,NA
17-004182,2017-01-04T15:24:32Z,suspicious,NA,NA,NA
17-004195,2017-01-04T15:32:37Z,traffic,NA,NO,NO
17-004212,2017-01-04T15:40:51Z,traffic,NA,NO,NO
17-004230,2017-01-04T15:51:03Z,suspicious,NA,NO,NO
17-004234,2017-01-04T15:54:06Z,suspicious,NA,NO,NO
17-004244,2017-01-04T16:02:24Z,suspicious,NA,NO,NO
17-004245,2017-01-04T16:03:35Z,traffic,NA,NO,NO
17-004250,2017-01-04T16:06:51Z,traffic,NA,NO,NO
17-004257,2017-01-04T16:16:19Z,suspicious,NA,NO,NO
17-004265,2017-01-04T16:26:58Z,suspicious,NA,YES,NO
17-004278,2017-01-04T16:39:49Z,traffic,NA,NO,NO
17-004279,2017-01-04T16:40:37Z,suspicious,NA,NA,NA
17-004296,2017-01-04T16:53:31Z,traffic,NA,NO,NO
17-004314,2017-01-04T17:13:02Z,traffic,NA,NA,NA
17-004366,2017-01-04T17:47:21Z,traffic,NA,NO,NO
17-004369,2017-01-04T17:49:58Z,suspicious,NA,NO,NO
17-004377,2017-01-04T17:58:41Z,traffic,NA,NO,NO
17-004394,2017-01-04T18:14:38Z,traffic,NA,YES,YES
17-004406,2017-01-04T18:30:01Z,traffic,NA,NO,NO
17-004410,2017-01-04T18:32:00Z,suspicious,NA,YES,YES
17-004427,2017-01-04T18:47:18Z,traffic,NA,NO,NO
17-004442,2017-01-04T18:57:56Z,suspicious,NA,NA,NA
17-004482,2017-01-04T19:30:30Z,traffic,NA,NO,NO
17-004485,2017-01-04T19:31:42Z,traffic,NA,NA,NA
17-004492,2017-01-04T19:39:55Z,traffic,NA,NA,NA
17-004502,2017-01-04T19:49:05Z,traffic,NA,NO,NO
17-004503,2017-01-04T19:49:25Z,traffic,NA,NO,NO
17-004508,2017-01-04T19:53:52Z,traffic,NA,NO,NO
17-004513,2017-01-04T19:58:35Z,traffic,NA,NO,NO
17-004517,2017-01-04T20:01:02Z,traffic,NA,NO,NO
17-004536,2017-01-04T20:15:42Z,traffic,NA,NO,NO
17-004549,2017-01-04T20:22:25Z,traffic,NA,NO,NO
17-004551,2017-01-04T20:25:47Z,traffic,NA,NO,NO
17-004558,2017-01-04T20:34:07Z,traffic,NA,NO,NO
17-004570,2017-01-04T20:43:29Z,traffic,NA,NO,NO
17-004603,2017-01-04T21:03:52Z,traffic,NA,NO,NO
17-004644,2017-01-04T21:24:16Z,traffic,NA,YES,YES
17-004649,2017-01-04T21:27:21Z,traffic,NA,NO,NO
17-004663,2017-01-04T21:37:21Z,suspicious,NA,NA,NA
17-004672,2017-01-04T21:42:03Z,traffic,NA,NO,NO
17-004677,2017-01-04T21:45:21Z,suspicious,NA,YES,NO
17-004678,2017-01-04T21:45:47Z,suspicious,NA,NA,NA
17-004689,2017-01-04T21:52:27Z,traffic,NA,NO,NO
17-004693,2017-01-04T21:53:47Z,suspicious,NA,YES,YES
17-004699,2017-01-04T21:56:14Z,suspicious,NA,NO,NO
17-004722,2017-01-04T22:08:44Z,suspicious,NA,NO,NO
17-004730,2017-01-04T22:14:16Z,suspicious,NA,NO,NO
17-004737,2017-01-04T22:17:25Z,suspicious,NA,NA,NA
17-004763,2017-01-04T22:37:26Z,suspicious,NA,NO,NO
17-004796,2017-01-04T22:57:48Z,traffic,NA,NA,NA
17-004799,2017-01-04T23:00:37Z,traffic,NA,YES,YES
17-004827,2017-01-04T23:23:28Z,suspicious,NA,NO,NO
17-004828,2017-01-04T23:24:10Z,suspicious,NA,NA,NA
17-004850,2017-01-04T23:41:22Z,suspicious,NA,NO,NO
17-004852,2017-01-04T23:44:06Z,suspicious,NA,YES,NO
17-004863,2017-01-04T23:53:16Z,traffic,NA,NO,NO
17-004867,2017-01-04T23:58:00Z,traffic,NA,NO,NO
17-004870,2017-01-04T23:59:50Z,traffic,NA,YES,YES
17-004882,2017-01-05T00:14:17Z,suspicious,NA,NO,NO
17-004898,2017-01-05T00:33:45Z,suspicious,NA,NO,NO
17-004913,2017-01-05T00:46:34Z,traffic,NA,NO,NO
17-004919,2017-01-05T00:54:25Z,traffic,NA,NO,NO
17-004972,2017-01-05T02:00:16Z,suspicious,NA,YES,YES
17-004973,2017-01-05T02:02:16Z,suspicious,NA,NO,NO
17-004987,2017-01-05T02:27:32Z,traffic,NA,NO,NO
17-004995,2017-01-05T02:42:23Z,traffic,NA,NO,NO
17-004997,2017-01-05T02:46:56Z,traffic,NA,NO,NO
17-005004,2017-01-05T02:56:45Z,traffic,NA,NO,NO
17-005009,2017-01-05T03:07:45Z,suspicious,NA,NO,NO
17-005017,2017-01-05T03:28:05Z,traffic,NA,NO,NO
17-005019,2017-01-05T03:49:49Z,suspicious,NA,YES,YES
17-005038,2017-01-05T05:13:45Z,suspicious,NA,NO,NO
17-005057,2017-01-05T07:12:44Z,suspicious,NA,NO,NO
17-005066,2017-01-05T07:32:10Z,traffic,NA,NO,NO
17-005111,2017-01-05T08:33:48Z,traffic,NA,NO,NO
17-005144,2017-01-05T09:27:23Z,suspicious,NA,NA,NA
17-005164,2017-01-05T09:53:33Z,suspicious,NA,NO,NO
17-005167,2017-01-05T09:56:12Z,suspicious,NA,NO,NO
17-005169,2017-01-05T10:02:48Z,traffic,NA,NO,NO
17-005177,2017-01-05T10:12:47Z,traffic,NA,NO,NO
17-005180,2017-01-05T10:13:47Z,suspicious,NA,NO,NO
17-005186,2017-01-05T10:18:27Z,traffic,NA,NA,NA
17-005187,2017-01-05T10:18:55Z,suspicious,NA,NO,NO
17-005193,2017-01-05T10:25:49Z,traffic,NA,NO,NO
17-005194,2017-01-05T10:26:30Z,traffic,NA,NO,NO
17-005196,2017-01-05T10:27:17Z,traffic,NA,NO,NO
17-005207,2017-01-05T10:43:24Z,suspicious,NA,NA,NA
17-005217,2017-01-05T10:47:40Z,traffic,NA,NO,NO
17-005219,2017-01-05T10:50:52Z,traffic,NA,NO,NO
17-005225,2017-01-05T10:55:43Z,traffic,NA,NO,NO
17-005232,2017-01-05T11:09:23Z,suspicious,NA,NO,NO
17-005275,2017-01-05T11:40:41Z,suspicious,NA,NA,NA
17-005279,2017-01-05T11:44:04Z,traffic,NA,NA,NA
17-005297,2017-01-05T11:56:20Z,traffic,NA,NA,NA
17-005319,2017-01-05T12:17:04Z,suspicious,NA,NO,NO
17-005322,2017-01-05T12:18:22Z,suspicious,NA,NO,NO
17-005328,2017-01-05T12:22:30Z,suspicious,NA,YES,NO
17-005327,2017-01-05T12:22:45Z,suspicious,NA,NA,NA
17-005354,2017-01-05T12:47:09Z,traffic,NA,NA,NA
17-005356,2017-01-05T12:47:34Z,traffic,NA,YES,YES
