idNum,preRace,race,gender
17-001417,Unknown,Black,Female
17-001424,Unknown,East African,Male
17-001429,Unknown,Unknown,Unknown
17-001433,Unknown,Black,Male
17-001454,NA,NA,NA
17-001457,NA,NA,NA
17-001472,Unknown,White,Female
17-001475,Unknown,Black,Male
17-001491,Black,Black,Male
17-001545,Black,Black,Male
17-001551,Unknown,Unknown,Unknown
17-001553,Unknown,Asian,Male
17-001558,Unknown,Latino,Male
17-001562,Unknown,East African,Male
17-001591,Unknown,Unknown,Unknown
17-001598,Black,Black,Male
17-001601,Unknown,White,Female
17-001619,Black,Black,Male
17-001629,Unknown,White,Male
17-001630,NA,NA,NA
17-001631,White,White,Male
17-001638,White,White,Female
17-001643,White,White,Male
17-001651,Native American,Native American,Male
17-001659,White,White,Male
17-001689,Unknown,Unknown,Unknown
17-001696,White,White,Male
17-001704,Unknown,White,Female
17-001717,Unknown,Unknown,Male
17-001720,Unknown,Unknown,Unknown
17-001721,Black,Black,Male
17-001759,Unknown,Unknown,Unknown
17-001770,White,White,Male
17-001771,Unknown,Black,Male
17-001782,Unknown,Unknown,Unknown
17-001784,Latino,Latino,Male
17-001792,Black,Unknown,Male
17-001808,NA,NA,NA
17-001818,Unknown,Black,Male
17-001821,Unknown,Latino,Male
17-001852,Unknown,White,Female
17-001856,Unknown,Unknown,Unknown
17-001882,White,White,Male
17-001887,Unknown,Black,Male
17-001903,NA,NA,NA
17-001925,NA,NA,NA
17-001931,Unknown,White,Male
17-001967,Unknown,White,Male
17-001978,Black,Black,Male
17-001986,NA,NA,NA
17-002015,Unknown,White,Male
17-002018,Unknown,White,Female
17-002061,Unknown,Native American,Female
17-002113,Unknown,Unknown,Unknown
17-002129,Unknown,Black,Male
17-002139,NA,NA,NA
17-002174,Unknown,Unknown,Unknown
17-002176,Black,Black,Male
17-002187,Black,Black,Male
17-002190,White,White,Male
17-002220,Black,Black,Male
17-002259,Black,Black,Male
17-002281,Unknown,Unknown,Male
17-002293,Unknown,White,Male
17-002296,Unknown,East African,Female
17-002310,White,White,Female
17-002312,Unknown,Unknown,Unknown
17-002315,Unknown,White,Female
17-002339,Unknown,East African,Male
17-002340,Unknown,Latino,Male
17-002342,Black,Black,Male
17-002362,Unknown,White,Female
17-002386,Unknown,Black,Male
17-002396,Unknown,White,Female
17-002421,Unknown,White,Male
17-002424,Unknown,East African,Female
17-002445,Unknown,White,Male
17-002453,Black,Black,Male
17-002466,NA,NA,NA
17-002495,NA,NA,NA
17-002519,Unknown,White,Male
17-002531,White,Unknown,Male
17-002534,Unknown,White,Male
17-002537,Unknown,White,Female
17-002548,Native American,Native American,Female
17-002570,Unknown,White,Female
17-002574,White,White,Male
17-002589,Unknown,White,Female
17-002633,Unknown,White,Male
17-002634,Native American,Native American,Female
17-002652,White,White,Male
17-002719,NA,NA,NA
17-002726,Unknown,Black,Female
17-002734,Unknown,Black,Male
17-002750,Unknown,Black,Male
17-002768,Unknown,Black,Male
17-002779,Black,Unknown,Male
17-002787,White,White,Male
17-002791,Unknown,Unknown,Unknown
17-002794,Black,Black,Male
17-002798,Unknown,Black,Male
17-002801,Black,Black,Male
17-002815,Unknown,Unknown,Unknown
17-002836,Unknown,Black,Male
17-002847,Unknown,Black,Male
17-002852,Unknown,Black,Male
17-002858,Black,Unknown,Male
17-002866,White,White,Female
17-002867,NA,NA,NA
17-002878,Unknown,Black,Male
17-002885,Black,Black,Male
17-002899,White,Unknown,Male
17-002902,Unknown,Black,Male
17-002903,Unknown,Black,Female
17-002917,Black,Black,Male
17-002944,NA,NA,NA
17-002958,White,Unknown,Female
17-002980,Unknown,Unknown,Unknown
17-002995,NA,NA,NA
17-003023,NA,NA,NA
17-003035,Unknown,Unknown,Male
17-003087,Black,Black,Male
17-003091,White,White,Female
17-003093,Unknown,Native American,Male
17-003120,Unknown,Black,Male
17-003145,Unknown,Unknown,Unknown
17-003171,Unknown,Unknown,Female
17-003184,White,White,Male
17-003196,Unknown,Other,Female
17-003198,NA,NA,NA
17-003219,NA,NA,NA
17-003230,NA,NA,NA
17-003237,Unknown,East African,Male
17-003263,Native American,Native American,Male
17-003296,Unknown,Black,Male
17-003297,Unknown,Black,Male
17-003311,White,White,Male
17-003315,Unknown,Other,Male
17-003321,Unknown,Black,Male
17-003333,Unknown,White,Female
17-003334,Unknown,Black,Male
17-003382,Black,Black,Male
17-003409,Unknown,Unknown,Unknown
17-003442,Unknown,White,Male
17-003458,Black,Black,Male
17-003468,Unknown,White,Male
17-003481,NA,NA,NA
17-003488,Unknown,Unknown,Unknown
17-003500,Unknown,White,Male
17-003528,Unknown,Latino,Male
17-003531,Black,Black,Male
17-003538,Unknown,Asian,Male
17-003542,White,White,Male
17-003558,Black,Unknown,Unknown
17-003560,Unknown,Unknown,Unknown
17-003562,Other,Other,Unknown
17-003563,NA,NA,NA
17-003571,Unknown,Unknown,Male
17-003577,NA,NA,NA
17-003583,NA,NA,NA
17-003592,Unknown,Unknown,Male
17-003593,Latino,Latino,Male
17-003601,Unknown,Latino,Male
17-003604,Unknown,Latino,Male
17-003622,Unknown,Black,Male
17-003638,Black,Black,Male
17-003652,Unknown,Black,Male
17-003676,Unknown,Black,Male
17-003678,Unknown,Unknown,Unknown
17-003710,Unknown,Latino,Male
17-003713,Unknown,Black,Male
17-003727,Unknown,Unknown,Unknown
17-003740,Black,Black,Male
17-003760,White,White,Female
17-003768,Black,Black,Female
17-003780,Unknown,Other,Female
17-003790,NA,NA,NA
17-003794,Unknown,White,Male
17-003801,White,White,Female
17-003804,Unknown,Unknown,Unknown
17-003805,White,Unknown,Unknown
17-003811,White,White,Female
17-003813,Unknown,White,Female
17-003816,Black,Unknown,Unknown
17-003820,Unknown,Unknown,Unknown
17-003829,NA,NA,NA
17-003839,Unknown,Unknown,Unknown
17-003844,NA,NA,NA
17-003846,Unknown,Unknown,Unknown
17-003848,NA,NA,NA
17-003851,NA,NA,NA
17-003865,Unknown,White,Male
17-003870,Unknown,Unknown,Male
17-003878,Black,Black,Male
17-003889,Unknown,Unknown,Unknown
17-003907,Unknown,Unknown,Unknown
17-003926,White,White,Male
17-003928,Unknown,White,Male
17-003937,White,White,Male
17-003948,White,White,Male
17-003974,White,White,Male
17-004005,Unknown,Unknown,Unknown
17-004024,Unknown,White,Female
17-004025,White,Unknown,Unknown
17-004044,Native American,Native American,Male
17-004060,NA,NA,NA
17-004093,Unknown,Black,Female
17-004102,Black,Black,Female
17-004105,Unknown,Other,Male
17-004112,Unknown,Black,Female
17-004130,Black,Black,Female
17-004154,Latino,Latino,Male
17-004164,White,White,Male
17-004166,Unknown,Unknown,Unknown
17-004167,NA,NA,NA
17-004182,NA,NA,NA
17-004195,Unknown,Black,Male
17-004212,Black,Black,Male
17-004230,Black,Black,Male
17-004234,Unknown,Unknown,Unknown
17-004244,Unknown,Unknown,Unknown
17-004245,Unknown,Unknown,Unknown
17-004250,Unknown,White,Male
17-004257,Unknown,Unknown,Unknown
17-004265,Black,Black,Male
17-004278,Unknown,Black,Male
17-004279,NA,NA,NA
17-004296,Unknown,Black,Male
17-004314,NA,NA,NA
17-004366,Unknown,Black,Male
17-004369,Unknown,Unknown,Male
17-004377,Unknown,Black,Male
17-004394,Black,Black,Male
17-004406,Unknown,Black,Male
17-004410,Black,Black,Male
17-004427,Unknown,Black,Male
17-004442,NA,NA,NA
17-004482,Unknown,East African,Male
17-004485,NA,NA,NA
17-004492,NA,NA,NA
17-004502,Unknown,White,Male
17-004503,White,White,Male
17-004508,Unknown,East African,Female
17-004513,Unknown,Black,Male
17-004517,Unknown,Black,Male
17-004536,Unknown,Black,Male
17-004549,Unknown,Black,Female
17-004551,Unknown,Black,Male
17-004558,Unknown,White,Male
17-004570,Unknown,White,Male
17-004603,Unknown,White,Male
17-004644,Unknown,Black,Male
17-004649,Unknown,Black,Male
17-004663,NA,NA,NA
17-004672,Unknown,Other,Female
17-004677,Black,Black,Male
17-004678,NA,NA,NA
17-004689,Latino,Latino,Male
17-004693,Black,Black,Male
17-004699,Unknown,Unknown,Unknown
17-004722,Unknown,Black,Female
17-004730,White,White,Male
17-004737,NA,NA,NA
17-004763,Native American,White,Male
17-004796,NA,NA,NA
17-004799,Unknown,Black,Male
17-004827,Unknown,Unknown,Unknown
17-004828,NA,NA,NA
17-004850,Unknown,White,Male
17-004852,Latino,Latino,Male
17-004863,Unknown,White,Male
17-004867,Unknown,Black,Male
17-004870,Unknown,White,Male
17-004882,White,White,Female
17-004898,Unknown,Latino,Female
17-004913,Unknown,Black,Male
17-004919,White,White,Female
17-004972,Unknown,Native American,Male
17-004973,Unknown,Unknown,Unknown
17-004987,Unknown,East African,Male
17-004995,Unknown,White,Male
17-004997,Unknown,Black,Male
17-005004,Unknown,Black,Male
17-005009,Native American,White,Male
17-005017,Unknown,Black,Male
17-005019,Black,Black,Male
17-005038,Unknown,Unknown,Unknown
17-005057,White,White,Male
17-005066,Unknown,Latino,Male
17-005111,Unknown,White,Female
17-005144,NA,NA,NA
17-005164,White,White,Male
17-005167,Black,Unknown,Unknown
17-005169,Unknown,Other,Male
17-005177,White,White,Male
17-005180,Unknown,White,Male
17-005186,NA,NA,NA
17-005187,White,White,Male
17-005193,Unknown,Black,Male
17-005194,Unknown,Black,Male
17-005196,Black,Black,Male
17-005207,NA,NA,NA
17-005217,Unknown,Black,Male
17-005219,Unknown,East African,Male
17-005225,Unknown,Native American,Male
17-005232,White,White,Male
17-005275,NA,NA,NA
17-005279,NA,NA,NA
17-005297,NA,NA,NA
17-005319,Unknown,Black,Male
17-005322,Unknown,Unknown,Unknown
17-005328,White,White,Male
17-005327,NA,NA,NA
17-005354,NA,NA,NA
17-005356,Black,Black,Male
17-005358,NA,NA,NA
17-005363,NA,NA,NA
17-005383,NA,NA,NA
17-005394,NA,NA,NA
17-005406,Unknown,Unknown,Unknown
17-005414,Unknown,Asian,Male
17-005421,Black,Black,Male
17-005430,Unknown,White,Male
17-005438,Black,Black,Female
17-005440,NA,NA,NA
17-005441,NA,NA,NA
17-005458,NA,NA,NA
17-005484,Unknown,Unknown,Unknown
17-005500,Unknown,Unknown,Unknown
17-005502,Unknown,Other,Male
17-005521,Unknown,Black,Female
17-005533,Black,Black,Male
17-005535,Unknown,Other,Male
17-005564,Other,Other,Unknown
17-005569,White,White,Female
17-005581,NA,NA,NA
17-005587,NA,NA,NA
17-005592,Unknown,Unknown,Unknown
17-005598,Unknown,White,Female
17-005604,Unknown,Unknown,Unknown
17-005610,Unknown,Unknown,Unknown
17-005621,Unknown,Unknown,Unknown
17-005630,Latino,Latino,Male
17-005651,Unknown,Unknown,Unknown
17-005689,Unknown,East African,Male
17-005691,NA,NA,NA
17-005692,Unknown,East African,Male
17-005705,Unknown,White,Male
17-005707,Unknown,East African,Female
17-005710,Unknown,Other,Female
17-005714,Unknown,White,Female
17-005729,Unknown,Unknown,Unknown
17-005746,Unknown,White,Male
17-005753,Unknown,Unknown,Male
17-005759,NA,NA,NA
17-005764,NA,NA,NA
17-005785,Unknown,Unknown,Unknown
17-005789,East African,East African,Male
17-005818,Unknown,Unknown,Unknown
17-005857,NA,NA,NA
17-005885,Unknown,East African,Male
17-005905,Unknown,White,Female
17-005939,Unknown,Black,Male
17-005951,NA,NA,NA
17-005957,Black,Black,Male
17-005967,Unknown,Black,Male
17-005993,NA,NA,NA
17-005997,Unknown,Unknown,Unknown
17-006007,Unknown,Black,Male
17-006029,Unknown,Other,Female
17-006036,Unknown,Latino,Male
17-006046,Unknown,Black,Female
17-006047,Unknown,Black,Female
17-006068,Black,Black,Male
17-006071,White,White,Male
17-006083,Unknown,Black,Female
17-006107,NA,NA,NA
17-006115,NA,NA,NA
17-006116,NA,NA,NA
17-006121,NA,NA,NA
17-006134,Unknown,Black,Male
17-006142,Unknown,Black,Female
17-006151,Unknown,Other,Male
17-006168,Unknown,East African,Male
17-006182,Unknown,Black,Female
17-006190,Unknown,Unknown,Unknown
17-006194,Unknown,Black,Male
17-006196,Unknown,Black,Male
17-006200,Unknown,Black,Male
17-006216,Unknown,Black,Male
17-006245,Unknown,Black,Male
17-006247,Unknown,East African,Male
17-006249,Unknown,Black,Male
17-006254,Unknown,Black,Male
17-006257,Unknown,Black,Male
17-006258,NA,NA,NA
17-006271,Unknown,Other,Male
17-006275,Unknown,Black,Male
17-006278,Unknown,Unknown,Unknown
17-006280,Unknown,Black,Female
17-006285,NA,NA,NA
17-006291,Unknown,Black,Male
17-006292,White,Unknown,Male
17-006297,Unknown,Unknown,Unknown
17-006305,Black,Black,Male
17-006311,White,White,Male
17-006314,NA,NA,NA
17-006323,NA,NA,NA
17-006324,Unknown,Black,Male
17-006330,Unknown,Black,Male
17-006336,Unknown,Other,Male
17-006374,Unknown,White,Male
17-006375,Unknown,White,Male
17-006377,Unknown,Asian,Female
17-006389,Unknown,White,Male
17-006436,Unknown,Asian,Male
17-006446,NA,NA,NA
17-006457,NA,NA,NA
17-006474,Unknown,White,Male
17-006514,NA,NA,NA
17-006525,White,White,Female
17-006536,NA,NA,NA
17-006553,Unknown,Unknown,Female
17-006559,Unknown,Black,Male
17-006569,Unknown,Unknown,Unknown
17-006581,White,White,Male
17-006582,NA,NA,NA
17-006585,White,White,Male
17-006589,Unknown,Black,Male
17-006591,Unknown,Black,Female
17-006593,Unknown,Black,Male
17-006600,NA,NA,NA
17-006601,Black,Black,Male
17-006606,NA,NA,NA
17-006623,NA,NA,NA
17-006635,Unknown,Unknown,Male
17-006637,Unknown,Unknown,Unknown
17-006639,Unknown,Unknown,Unknown
17-006654,Black,Black,Male
17-006657,Unknown,White,Male
17-006666,NA,NA,NA
17-006692,White,White,Female
17-006694,NA,NA,NA
17-006696,Unknown,Black,Male
17-006703,Unknown,Black,Male
17-006705,White,White,Female
17-006714,Unknown,Black,Female
17-006739,Unknown,Unknown,Male
17-006746,Black,Black,Male
17-006756,Unknown,Black,Male
17-006786,White,White,Male
17-006793,Unknown,Unknown,Male
17-006797,Unknown,Unknown,Unknown
17-006817,White,White,Female
17-006834,Unknown,Black,Male
17-006852,NA,NA,NA
17-006858,Unknown,Unknown,Unknown
17-006865,White,White,Male
17-006879,NA,NA,NA
17-006894,Unknown,Black,Male
17-006899,Unknown,Unknown,Unknown
17-006901,Unknown,Unknown,Unknown
17-006924,NA,NA,NA
17-006928,Unknown,Unknown,Male
17-006949,Unknown,Black,Male
17-006959,NA,NA,NA
17-006975,NA,NA,NA
17-006980,Unknown,Black,Male
17-006988,Unknown,Black,Male
17-007011,Unknown,Other,Male
17-007019,Unknown,Unknown,Unknown
17-007023,White,Unknown,Male
17-007041,Unknown,Unknown,Male
17-007047,East African,East African,Female
17-007053,NA,NA,NA
17-007073,Black,Black,Male
17-007106,Unknown,White,Male
17-007109,Unknown,Black,Female
17-007111,Black,Black,Male
17-007112,Unknown,Black,Male
17-007125,Native American,Native American,Male
17-007140,Unknown,Latino,Male
17-007156,Unknown,Black,Male
17-007165,Unknown,White,Male
17-007182,Unknown,East African,Male
17-007184,Unknown,Unknown,Unknown
17-007188,Unknown,White,Male
17-007192,Unknown,East African,Female
17-007194,Unknown,Black,Female
17-007201,Unknown,Black,Male
17-007204,NA,NA,NA
17-007215,Unknown,Black,Male
17-007218,White,White,Male
17-007219,NA,NA,NA
17-007228,Unknown,Unknown,Unknown
17-007232,Black,Black,Male
17-007233,Unknown,Black,Male
17-007242,Unknown,White,Female
17-007256,Unknown,Unknown,Male
17-007259,Unknown,White,Male
17-007266,Unknown,White,Male
17-007278,NA,NA,NA
17-007288,Unknown,Asian,Male
17-007297,Unknown,Black,Male
17-007307,Unknown,Unknown,Unknown
17-007318,Unknown,White,Male
17-007323,Unknown,Black,Female
17-007329,NA,NA,NA
17-007344,Unknown,White,Male
17-007346,Unknown,Black,Male
17-007348,Unknown,Latino,Male
17-007352,White,White,Male
17-007358,Unknown,Other,Male
17-007368,Unknown,East African,Male
17-007402,Unknown,White,Male
17-007407,Black,Black,Male
17-007412,Unknown,Latino,Male
17-007417,Unknown,Black,Male
17-007421,White,White,Female
17-007422,Black,Black,Male
17-007429,Unknown,Black,Male
17-007432,Unknown,Black,Female
17-007436,Unknown,Black,Male
17-007438,Unknown,Unknown,Unknown
17-007446,Unknown,Unknown,Unknown
17-007447,Asian,Asian,Male
17-007449,Unknown,East African,Male
17-007451,Unknown,Unknown,Unknown
17-007458,Unknown,White,Male
17-007460,Latino,Latino,Female
17-007462,White,White,Female
17-007471,White,White,Female
17-007480,Unknown,Unknown,Unknown
17-007484,Black,Black,Male
17-007508,Unknown,Unknown,Unknown
17-007515,Unknown,Unknown,Unknown
17-007534,Unknown,Black,Female
17-007548,NA,NA,NA
17-007549,Unknown,Asian,Female
17-007566,Unknown,Unknown,Unknown
17-007570,Unknown,Unknown,Unknown
17-007590,Unknown,Black,Male
17-007609,Black,Black,Male
17-007618,White,White,Male
17-007627,Unknown,White,Female
17-007639,Unknown,Black,Male
17-007646,Unknown,East African,Male
17-007677,Native American,Native American,Female
17-007695,Unknown,Unknown,Unknown
17-007706,Unknown,Unknown,Male
17-007738,Unknown,White,Male
17-007753,Unknown,White,Female
17-007757,Other,Other,Female
17-007762,Latino,Latino,Male
17-007778,White,Unknown,Male
17-007806,NA,NA,NA
17-007813,NA,NA,NA
17-007843,Unknown,White,Female
17-007845,Unknown,White,Male
17-007854,NA,NA,NA
17-007883,Unknown,White,Male
17-007929,Unknown,White,Male
17-007935,Unknown,Latino,Female
17-007943,Unknown,White,Female
17-007945,East African,East African,Male
17-007952,Unknown,White,Male
17-007960,Unknown,Unknown,Unknown
17-007964,NA,NA,NA
17-007969,Black,Black,Male
17-007971,Other,Other,NA
17-007974,Unknown,Other,Male
17-007982,Unknown,Black,Male
17-007984,Unknown,East African,Male
17-007998,Unknown,Black,Male
17-008006,Unknown,Black,Male
17-008015,NA,NA,NA
17-008024,NA,NA,NA
17-008034,Unknown,Black,Female
17-008038,Unknown,White,Female
17-008045,Black,Black,Male
17-008055,Unknown,Black,Male
17-008060,Unknown,White,Male
17-008063,Unknown,White,Male
17-008071,Unknown,Black,Male
17-008079,Unknown,Unknown,Unknown
17-008093,White,White,Male
17-008114,Unknown,White,Male
17-008117,Unknown,White,Male
17-008118,Unknown,White,Male
17-008135,Unknown,Black,Male
17-008141,Unknown,Black,Female
17-008149,Black,Black,Male
17-008158,Black,Black,Female
17-008164,Unknown,Black,Male
17-008167,Unknown,Unknown,Unknown
17-008168,Unknown,White,Male
17-008179,Unknown,Black,Male
17-008181,Unknown,White,Male
17-008184,Unknown,White,Male
17-008192,Unknown,Unknown,Unknown
17-008199,Black,Black,Male
17-008200,Unknown,White,Male
17-008201,Black,Black,Female
17-008203,Unknown,White,Male
17-008205,Black,Black,Male
17-008216,Unknown,East African,Female
17-008217,NA,NA,NA
17-008226,Unknown,East African,Male
17-008228,NA,NA,NA
17-008240,Black,Black,Male
17-008248,Unknown,White,Male
17-008260,Unknown,White,Male
17-008265,Unknown,White,Male
17-008270,Unknown,Unknown,Male
17-008281,Unknown,Black,Male
17-008283,Unknown,Black,Male
17-008292,NA,NA,NA
17-008308,Unknown,White,Female
17-008318,Unknown,Black,Female
17-008320,Unknown,East African,Male
17-008330,Unknown,Unknown,Unknown
17-008333,Unknown,Unknown,Male
17-008342,Unknown,Black,Male
17-008358,Unknown,Black,Male
17-008364,Unknown,Black,Male
17-008368,Unknown,White,Female
17-008371,Unknown,White,Male
17-008376,Unknown,Black,Male
17-008380,Unknown,Black,Male
17-008382,White,White,Male
17-008386,Unknown,Black,Female
17-008397,Unknown,White,Female
17-008404,Unknown,White,Female
17-008407,Unknown,Black,Male
17-008413,Unknown,Black,Male
17-008419,Unknown,White,Male
17-008428,Unknown,Native American,Female
17-008434,Unknown,White,Male
17-008440,Unknown,Black,Female
17-008441,NA,NA,NA
17-008443,Unknown,Black,Male
17-008444,Unknown,Unknown,Unknown
17-008448,Unknown,White,Female
17-008474,Black,Black,Male
17-008488,NA,NA,NA
17-008501,NA,NA,NA
17-008504,Black,Black,Male
17-008507,Black,Black,Male
17-008518,White,White,Female
17-008525,Unknown,East African,Male
17-008528,White,White,Male
17-008533,White,Unknown,Male
17-008536,Black,Black,Male
17-008540,Unknown,Unknown,Unknown
17-008541,Unknown,Unknown,Unknown
17-008543,Unknown,Native American,Male
17-008552,Unknown,Black,Male
17-008555,NA,NA,NA
17-008560,Unknown,Unknown,Unknown
17-008562,NA,NA,NA
17-008566,Unknown,Black,Male
17-008578,Unknown,Latino,Female
17-008581,Black,Black,Male
17-008584,NA,NA,NA
17-008608,Unknown,Unknown,Unknown
17-008621,Unknown,Black,Female
17-008643,Unknown,Black,Male
17-008665,Unknown,Latino,Male
17-008669,White,Unknown,Male
17-008674,NA,NA,NA
17-008683,Unknown,White,Male
17-008690,Unknown,Latino,Female
17-008702,White,White,Male
17-008708,NA,NA,NA
17-008773,NA,NA,NA
17-008782,Unknown,White,Male
17-008828,Black,Unknown,Female
17-008836,NA,NA,NA
17-008838,NA,NA,NA
17-008896,White,Unknown,Male
17-008906,Unknown,Native American,Male
17-008922,Unknown,Black,Male
17-008924,Unknown,Black,Male
17-008925,Unknown,Other,Male
17-008931,Unknown,Unknown,Unknown
17-008964,Unknown,Latino,Male
17-008966,Unknown,East African,Male
17-008989,Unknown,Unknown,Unknown
17-008993,Unknown,Black,Male
17-008998,Unknown,Black,Male
17-009012,Unknown,White,Male
17-009022,Black,Unknown,Unknown
17-009037,Unknown,Black,Male
17-009045,Unknown,East African,Male
17-009055,White,White,Male
17-009084,NA,NA,NA
17-009095,Unknown,Black,Male
17-009100,Unknown,Unknown,Unknown
17-009103,Unknown,Black,Male
17-009155,Unknown,Unknown,Male
17-009166,Unknown,Black,Female
17-009170,Unknown,Unknown,Unknown
17-009172,Unknown,Black,Male
17-009176,Unknown,White,Male
17-009190,Unknown,White,Male
17-009197,Unknown,Black,Male
17-009207,Other,Other,Male
17-009210,NA,NA,NA
17-009215,NA,NA,NA
17-009220,Unknown,Black,Female
17-009236,NA,NA,NA
17-009240,NA,NA,NA
17-009243,Unknown,Black,Male
17-009249,NA,NA,NA
17-009267,NA,NA,NA
17-009272,White,White,Male
17-009275,Unknown,Black,Female
17-009285,Unknown,Black,Male
17-009305,NA,NA,NA
17-009309,Unknown,Other,Male
17-009317,Black,Black,Male
17-009320,Unknown,Unknown,Unknown
17-009326,Unknown,Black,Male
17-009337,Unknown,Black,Male
17-009346,NA,NA,NA
17-009352,NA,NA,NA
17-009376,Unknown,Black,Female
17-009383,East African,East African,Female
17-009390,White,Latino,Male
17-009405,Latino,Latino,Male
17-009407,Unknown,Latino,Male
17-009411,White,White,Male
17-009412,NA,NA,NA
17-009478,Unknown,White,Male
17-009485,NA,NA,NA
17-009502,Unknown,Unknown,Unknown
17-009504,Unknown,Black,Male
17-009511,Black,Black,Female
17-009523,Unknown,Unknown,Unknown
17-009527,Unknown,Unknown,Unknown
17-009532,Black,Black,Male
17-009535,Unknown,Black,Male
17-009537,Unknown,White,Female
17-009545,Unknown,Latino,Female
17-009592,Unknown,Latino,Male
17-009606,Unknown,Black,Male
17-009621,Unknown,Unknown,Unknown
17-009646,White,White,Female
17-009661,White,White,Female
17-009671,White,White,Male
17-009679,White,White,Female
17-009687,White,White,Female
17-009690,Unknown,Unknown,Unknown
17-009694,White,White,Male
17-009704,White,White,Male
17-009708,White,White,Female
17-009712,Black,Black,Male
17-009739,White,White,Male
17-009744,Black,Black,Female
17-009748,White,White,Male
17-009757,White,White,Female
17-009764,Unknown,Native American,Male
17-009774,White,White,Female
17-009789,Unknown,Native American,Male
17-009803,NA,NA,NA
17-009831,Unknown,White,Male
17-009832,NA,NA,NA
17-009850,Black,Black,Male
17-009855,NA,NA,NA
17-009861,Unknown,White,Male
17-009874,Unknown,White,Female
17-009878,White,Unknown,Male
17-009901,Unknown,Unknown,Unknown
17-009909,White,White,Male
17-009921,Unknown,Black,Male
17-009932,Unknown,White,Male
17-009938,Unknown,Unknown,Unknown
17-009939,Unknown,White,Male
17-009967,Black,Unknown,Unknown
17-009996,Unknown,White,Male
17-009997,White,White,Male
17-009998,White,White,Male
17-010005,Black,Unknown,Unknown
17-010035,NA,NA,NA
17-010054,NA,NA,NA
17-010068,Unknown,White,Female
17-010085,Unknown,Unknown,Unknown
17-010086,Unknown,Other,Male
17-010162,Unknown,Unknown,Unknown
17-010179,NA,NA,NA
17-010192,Black,Unknown,Male
17-010237,Unknown,White,Male
17-010299,NA,NA,NA
17-010298,NA,NA,NA
17-010310,Unknown,White,Female
17-010332,Unknown,Unknown,Unknown
